Marcelo,villate,santa cruz,99
Andrea,paz,caba,99
Lucía,gonzález,neuquén,99
Julián,manzur,santiago del estero,98
Ana laura,jiménez,chaco,98
Mariano,villafáñez,santa cruz,98
Nicolás,luzuriaga,santa cruz,97
Luciana,juárez,santiago del estero,95
Jazmín,gerez,formosa,95
Rogelio,linares,córdoba,88
Joaquín,ortiz alba,entre ríos,88
Paula,garcía,río negro,88
Andrés,gil gómez,caba,85
Rossana,del olmo,chubut,84
Anabel,llanes,mendoza,83
Antonio,peñate,río negro,83
Paulina,estarda,la pampa,83
Luciano,pinto,la rioja,81
Agustín,méndez,formosa,77
Pablo,paz iraola,buenos aires,77
Mariano,álvarez,san luis,68
Roberto,luna,corrientes,68
Victoria,antón,salta,62
